sba_physical_declaration_number,sba_eidl_declaration_number,fema_disaster_number,sba_disaster_number,damaged_property_city_name,damaged_property_zip_code,damaged_property_county/parish_name,damaged_property_state_code,total_verified_loss,verified_loss_real_estate,verified_loss_content,total_approved_loan_amount,approved_amount_real_estate,approved_amount_content,year,incident_type
10701,10702,1668,LA-00007,WINNFIELD,71483,WINN,LA,9035,4335,4700,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,WINNSBORO,71295,FRANKLIN,LA,263505,207960,55545,60000,33500,26500,2007,Severe Storm
10701,10702,1668,LA-00007,WISNER,71378,FRANKLIN,LA,9928,5478,4450,10000,5500,4500,2007,Severe Storm
10757,10758,1671,WA-00007,ABERDEEN,98520,GRAYS HARBOR,WA,74674,62574,12100,72300,60200,12100,2007,Severe Storm
10757,10758,1671,WA-00007,ANACORTES,98221,SKAGIT,WA,13204,13204,0,13300,13300,0,2007,Severe Storm
10757,10758,1671,WA-00007,ARLINGTON,98223,SNOHOMISH,WA,1308764,864214,444550,613500,384900,228600,2007,Severe Storm
10757,10758,1671,WA-00007,BARING,98224,KING,WA,75744,51349,24395,54500,30100,24400,2007,Severe Storm
10757,10758,1671,WA-00007,BATTLE GROUND,98604,CLARK,WA,28943,28943,0,15300,15300,0,2007,Severe Storm
10757,10758,1671,WA-00007,BELLEVUE,98007,KING,WA,279427,258073,21354,0,0,0,2007,Severe Storm
10757,10758,1671,WA-00007,BONNEY LAKE,98391,PIERCE,WA,108434,97994,10440,58800,48300,10500,2007,Severe Storm
10757,10758,1671,WA-00007,BOTHELL,98011,KING,WA,9918,9918,0,10000,10000,0,2007,Severe Storm
10757,10758,1671,WA-00007,BOTHELL,98012,SNOHOMISH,WA,45575,31695,13880,43200,29300,13900,2007,Severe Storm
10757,10758,1671,WA-00007,BOTHELL,98021,SNOHOMISH,WA,58346,56396,1950,23100,21300,1800,2007,Severe Storm
10757,10758,1671,WA-00007,BRUSH PRAIRIE,98606,CLARK,WA,31258,26858,4400,20000,15600,4400,2007,Severe Storm
10757,10758,1671,WA-00007,BUCKLEY,98321,PIERCE,WA,12580,12580,0,12600,12600,0,2007,Severe Storm
10757,10758,1671,WA-00007,CARNATION,98014,KING,WA,521855,399570,122285,307400,221800,85600,2007,Severe Storm
10757,10758,1671,WA-00007,CASTLE ROCK,98611,COWLITZ,WA,288038,213088,74950,208700,139800,68900,2007,Severe Storm
10757,10758,1671,WA-00007,CATHLAMET,98612,WAHKIAKUM,WA,317557,220457,97100,114800,70700,44100,2007,Severe Storm
10757,10758,1671,WA-00007,CENTRALIA,98531,LEWIS,WA,5300,5300,0,4600,4600,0,2007,Severe Storm
10757,10758,1671,WA-00007,CHEHALIS,98532,LEWIS,WA,113270,50240,63030,78400,50300,28100,2007,Severe Storm
